game_id,competition_id,competition_type,season,round,date,home_club_id,away_club_id,home_club_goals,away_club_goals,aggregate,home_club_position,away_club_position,club_home_name,club_away_name,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,url
3889102,GR1,domestic_league,2022,17. Matchday,2023-01-08,60949,683,0,4,0:4,6,3,Volos Nps,Olympiakos Piraus,Konstantinos Bratsos,Michel,Panthessaliko Stadio,10582,Anastasios Papapetrou,https://www.transfermarkt.co.uk/volos-nps_olympiacos-piraeus/index/spielbericht/3889102
3889105,GR1,domestic_league,2022,17. Matchday,2023-01-07,3999,1091,0,3,0:3,13,4,Pas Lamia 1964,Paok Thessaloniki,Savvas Pantelidis,Razvan Lucescu,"Stadio Lamia ""Athanasios Diakos""",2040,Stefanos Koubarakis,https://www.transfermarkt.co.uk/pas-lamia-1964_paok-thessaloniki/index/spielbericht/3889105
3889103,GR1,domestic_league,2022,17. Matchday,2023-01-07,2672,2671,1,3,1:3,12,10,Apo Levadiakos,Pas Giannina,Jasminko Velic,Athanasios Staikos,Stadio Livadias,837,Vangelis Manouchos,https://www.transfermarkt.co.uk/apo-levadiakos_pas-giannina/index/spielbericht/3889103
3889097,GR1,domestic_league,2022,16. Matchday,2023-01-04,1091,605,1,0,1:0,4,6,Paok Thessaloniki,Aris Thessaloniki,Razvan Lucescu,Alan Pardew,Toumba Stadium,20756,Tamás Bognár,https://www.transfermarkt.co.uk/paok-thessaloniki_aris-thessaloniki/index/spielbericht/3889097
3889096,GR1,domestic_league,2022,16. Matchday,2023-01-04,6418,3060,2,0,2:0,7,8,Panetolikos Gfs,Atromitos Athen,Giannis Anastasiou,Chris Coleman,Gipedo Panetolikou,1935,Dimitrios Maloutas,https://www.transfermarkt.co.uk/panetolikos-gfs_atromitos-athen/index/spielbericht/3889096
3889092,GR1,domestic_league,2022,16. Matchday,2023-01-04,6676,3999,3,0,3:0,9,13,Asteras Tripolis,Pas Lamia 1964,Apostolos Mantzios,Savvas Pantelidis,Gipedo Theodoros Kolokotronis,851,Konstantinos Katikos,https://www.transfermarkt.co.uk/asteras-tripolis_pas-lamia-1964/index/spielbericht/3889092
3889093,GR1,domestic_league,2022,16. Matchday,2023-01-03,553,683,0,2,0:2,14,3,Ionikos Nikeas,Olympiakos Piraus,Dimitrios Spanos,Michel,Dimotiko Gipedo Neapolis,1108,Aristotelis Diamantopoulos,https://www.transfermarkt.co.uk/ionikos-nikeas_olympiacos-piraeus/index/spielbericht/3889093
3889098,GR1,domestic_league,2022,16. Matchday,2023-01-03,2671,2441,2,1,2:1,10,2,Pas Giannina,Aek Athen,Athanasios Staikos,Matías Almeyda,Stadio Zosimades,0,Vasilios Fotias,https://www.transfermarkt.co.uk/pas-giannina_aek-athens/index/spielbericht/3889098
3921549,GR1,domestic_league,2022,16. Matchday,2023-01-03,2672,265,0,1,0:1,12,1,Apo Levadiakos,Panathinaikos Athen,Jasminko Velic,Ivan Jovanovic,Stadio Livadias,4283,Alexandros Tsakalidis,https://www.transfermarkt.co.uk/apo-levadiakos_panathinaikos-athens/index/spielbericht/3921549
3889100,GR1,domestic_league,2022,17. Matchday,2023-01-08,605,6676,3,0,3:0,5,9,Aris Thessaloniki,Asteras Tripolis,Alan Pardew,Apostolos Mantzios,"Gipedo ""Kleanthis Vikelidis""",7010,Athanasios Tzilos,https://www.transfermarkt.co.uk/aris-thessaloniki_asteras-tripolis/index/spielbericht/3889100
3889112,GR1,domestic_league,2022,18. Matchday,2023-01-14,3999,3060,1,1,1:1,13,7,Pas Lamia 1964,Atromitos Athen,Savvas Pantelidis,Chris Coleman,"Stadio Lamia ""Athanasios Diakos""",1210,Aristotelis Diamantopoulos,https://www.transfermarkt.co.uk/pas-lamia-1964_atromitos-athen/index/spielbericht/3889112
3889091,GR1,domestic_league,2022,15. Matchday,2022-12-29,3999,2671,1,1,1:1,13,12,Pas Lamia 1964,Pas Giannina,Savvas Pantelidis,Athanasios Staikos,"Stadio Lamia ""Athanasios Diakos""",1383,Christos Vergetis,https://www.transfermarkt.co.uk/pas-lamia-1964_pas-giannina/index/spielbericht/3889091
3889109,GR1,domestic_league,2022,18. Matchday,2023-01-15,683,605,1,0,1:0,3,6,Olympiakos Piraus,Aris Thessaloniki,Michel,Alan Pardew,Stadio Georgios Karaiskakis,24753,Roi Reinshreiber,https://www.transfermarkt.co.uk/olympiacos-piraeus_aris-thessaloniki/index/spielbericht/3889109
3889094,GR1,domestic_league,2022,16. Matchday,2023-01-03,653,60949,0,0,0:0,11,5,Ofi Kreta,Volos Nps,Valdas Dambrauskas,Konstantinos Bratsos,Gipedo Theodoros Vardinogiannis,3214,Angelos Evangelou,https://www.transfermarkt.co.uk/ofi-crete-fc_volos-nps/index/spielbericht/3889094
3889086,GR1,domestic_league,2022,15. Matchday,2022-12-28,3060,1091,1,1,1:1,7,4,Atromitos Athen,Paok Thessaloniki,Chris Coleman,Razvan Lucescu,Stadio Peristeriou,1588,Aristomenis Koutsiavtis,https://www.transfermarkt.co.uk/atromitos-athen_paok-thessaloniki/index/spielbericht/3889086
3889089,GR1,domestic_league,2022,15. Matchday,2022-12-28,683,6676,5,0,5:0,3,9,Olympiakos Piraus,Asteras Tripolis,Michel,Αlexandros Maniatoglou,Stadio Georgios Karaiskakis,17500,Konstantinos Perrakis,https://www.transfermarkt.co.uk/olympiacos-piraeus_asteras-tripolis/index/spielbericht/3889089
3889088,GR1,domestic_league,2022,15. Matchday,2022-12-28,2672,553,1,0,1:0,10,14,Apo Levadiakos,Ionikos Nikeas,Jasminko Velic,Dimitrios Spanos,Stadio Livadias,733,Anastasios Sidiropoulos,https://www.transfermarkt.co.uk/apo-levadiakos_ionikos-nikeas/index/spielbericht/3889088
3889083,GR1,domestic_league,2022,14. Matchday,2022-12-22,6418,1091,0,2,0:2,8,3,Panetolikos Gfs,Paok Thessaloniki,Giannis Anastasiou,Razvan Lucescu,Gipedo Panetolikou,2287,Anastasios Sidiropoulos,https://www.transfermarkt.co.uk/panetolikos-gfs_paok-thessaloniki/index/spielbericht/3889083
3897452,CIT,domestic_cup,2022,Second Round,2022-10-19,410,2919,2,3,2:3,-1,-1,Udinese Calcio,Ac Monza,Andrea Sottil,Raffaele Palladino,Dacia Arena,5034,Federico Dionisi,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/3897452
3889080,GR1,domestic_league,2022,14. Matchday,2022-12-21,553,265,1,1,1:1,14,1,Ionikos Nikeas,Panathinaikos Athen,Dimitrios Spanos,Ivan Jovanovic,Dimotiko Gipedo Neapolis,1094,Ioannis Papadopoulos,https://www.transfermarkt.co.uk/ionikos-nikeas_panathinaikos-athens/index/spielbericht/3889080
3889084,GR1,domestic_league,2022,14. Matchday,2022-12-21,2671,683,2,2,2:2,11,4,Pas Giannina,Olympiakos Piraus,Athanasios Staikos,Michel,Stadio Zosimades,4108,Stefanos Koubarakis,https://www.transfermarkt.co.uk/pas-giannina_olympiacos-piraeus/index/spielbericht/3889084
3889101,GR1,domestic_league,2022,17. Matchday,2023-01-08,3060,553,2,0,2:0,7,14,Atromitos Athen,Ionikos Nikeas,Chris Coleman,Dimitrios Spanos,Stadio Peristeriou,1362,Ioannis Papadopoulos,https://www.transfermarkt.co.uk/atromitos-athen_ionikos-nikeas/index/spielbericht/3889101
3889078,GR1,domestic_league,2022,14. Matchday,2022-12-21,2441,3999,3,0,3:0,2,12,Aek Athen,Pas Lamia 1964,Matías Almeyda,Savvas Pantelidis,OPAP Arena,23571,Vangelis Manouchos,https://www.transfermarkt.co.uk/aek-athens_pas-lamia-1964/index/spielbericht/3889078
3889079,GR1,domestic_league,2022,14. Matchday,2022-12-21,6676,60949,0,0,0:0,9,5,Asteras Tripolis,Volos Nps,Iraklis Metaxas,Konstantinos Bratsos,Gipedo Theodoros Kolokotronis,533,Georgios Tzovaras,https://www.transfermarkt.co.uk/asteras-tripolis_volos-nps/index/spielbericht/3889079
3889114,GR1,domestic_league,2022,19. Matchday,2023-01-22,3060,683,1,1,1:1,7,3,Atromitos Athen,Olympiakos Piraus,Chris Coleman,Michel,Stadio Peristeriou,1909,Vangelis Manouchos,https://www.transfermarkt.co.uk/atromitos-athen_olympiacos-piraeus/index/spielbericht/3889114
3889071,GR1,domestic_league,2022,13. Matchday,2022-11-14,6676,553,1,0,1:0,9,14,Asteras Tripolis,Ionikos Nikeas,Iraklis Metaxas,Dimitrios Spanos,Gipedo Theodoros Kolokotronis,856,Konstantinos Perrakis,https://www.transfermarkt.co.uk/asteras-tripolis_ionikos-nikeas/index/spielbericht/3889071
3889075,GR1,domestic_league,2022,13. Matchday,2022-11-13,1091,60949,3,0,3:0,4,5,Paok Thessaloniki,Volos Nps,Razvan Lucescu,Konstantinos Bratsos,Toumba Stadium,9880,Andreas Gamaris,https://www.transfermarkt.co.uk/paok-thessaloniki_volos-nps/index/spielbericht/3889075
3889072,GR1,domestic_league,2022,13. Matchday,2022-11-13,683,2441,0,0,0:0,3,2,Olympiakos Piraus,Aek Athen,Michel,Matías Almeyda,Stadio Georgios Karaiskakis,31717,Glenn Nyberg,https://www.transfermarkt.co.uk/olympiacos-piraeus_aek-athens/index/spielbericht/3889072
3889077,GR1,domestic_league,2022,13. Matchday,2022-11-13,3999,6418,1,3,1:3,11,7,Pas Lamia 1964,Panetolikos Gfs,Gianluca Festa,Giannis Anastasiou,"Stadio Lamia ""Athanasios Diakos""",1202,Alexandros Tsakalidis,https://www.transfermarkt.co.uk/pas-lamia-1964_panetolikos-gfs/index/spielbericht/3889077
3889074,GR1,domestic_league,2022,13. Matchday,2022-11-13,265,3060,2,0,2:0,1,8,Panathinaikos Athen,Atromitos Athen,Ivan Jovanovic,Chris Coleman,Apostolos Nikolaidis,13163,Vangelis Manouchos,https://www.transfermarkt.co.uk/panathinaikos-athens_atromitos-athen/index/spielbericht/3889074
3889076,GR1,domestic_league,2022,13. Matchday,2022-11-13,2671,605,0,4,0:4,12,6,Pas Giannina,Aris Thessaloniki,Athanasios Staikos,Alan Pardew,Stadio Zosimades,1955,Dimitrios Maloutas,https://www.transfermarkt.co.uk/pas-giannina_aris-thessaloniki/index/spielbericht/3889076
3889073,GR1,domestic_league,2022,13. Matchday,2022-11-14,653,2672,2,1,2:1,10,13,Ofi Kreta,Apo Levadiakos,Valdas Dambrauskas,Jasminko Velic,Gipedo Theodoros Vardinogiannis,3015,Angelos Angelakis,https://www.transfermarkt.co.uk/ofi-crete-fc_apo-levadiakos/index/spielbericht/3889073
3889067,GR1,domestic_league,2022,12. Matchday,2022-11-10,60949,2671,2,1,2:1,4,10,Volos Nps,Pas Giannina,Konstantinos Bratsos,Athanasios Staikos,Panthessaliko Stadio,2209,Anastasios Papapetrou,https://www.transfermarkt.co.uk/volos-nps_pas-giannina/index/spielbericht/3889067
