game_id,competition_id,competition_type,season,round,date,club id,club goals,opposite club id,opposite_club_goals,result,difference_goals
2494328,GR1,domestic_league,2014,3. Matchday,9/14/14,2671,2,128,2,tie,0
2494362,GR1,domestic_league,2014,7. Matchday,10/20/14,169,0,2671,1,loss,-1
2494329,GR1,domestic_league,2014,3. Matchday,9/14/14,28956,1,265,0,win,1
2494325,GR1,domestic_league,2014,3. Matchday,9/14/14,169,2,6676,1,win,1
2494326,GR1,domestic_league,2014,3. Matchday,9/14/14,3060,0,6418,0,tie,0
2494323,GR1,domestic_league,2014,3. Matchday,9/13/14,1091,3,5572,0,win,3
2494322,GR1,domestic_league,2014,3. Matchday,9/13/14,2079,2,5219,1,win,1
2494335,GR1,domestic_league,2014,4. Matchday,9/20/14,653,1,3060,0,win,1
2489371,GR1,domestic_league,2014,2. Matchday,8/31/14,265,2,169,1,win,1
2494330,GR1,domestic_league,2014,3. Matchday,9/15/14,5220,0,21957,3,loss,-3
2489370,GR1,domestic_league,2014,2. Matchday,8/31/14,21957,0,1091,4,loss,-4
2489369,GR1,domestic_league,2014,2. Matchday,8/31/14,6676,2,2672,1,win,1
2489368,GR1,domestic_league,2014,2. Matchday,8/31/14,5572,0,3060,1,loss,-1
2494338,GR1,domestic_league,2014,4. Matchday,9/20/14,683,3,2079,0,win,3
2489366,GR1,domestic_league,2014,2. Matchday,8/30/14,6418,1,683,1,tie,0
2489365,GR1,domestic_league,2014,2. Matchday,8/30/14,28956,2,5220,0,win,2
2489364,GR1,domestic_league,2014,2. Matchday,8/30/14,7185,1,2671,1,tie,0
2489363,GR1,domestic_league,2014,1. Matchday,8/25/14,169,2,5220,1,win,1
2489362,GR1,domestic_league,2014,1. Matchday,8/24/14,2672,1,265,1,tie,0
2489367,GR1,domestic_league,2014,2. Matchday,8/31/14,128,0,5219,0,tie,0
2489360,GR1,domestic_league,2014,1. Matchday,8/24/14,3060,1,21957,0,win,1
2494343,GR1,domestic_league,2014,5. Matchday,9/28/14,5220,1,6418,1,tie,0
2494324,GR1,domestic_league,2014,3. Matchday,9/13/14,683,3,653,0,win,3
2489359,GR1,domestic_league,2014,1. Matchday,8/24/14,2671,3,6676,1,win,2
2489356,GR1,domestic_league,2014,1. Matchday,8/23/14,5219,2,7185,1,win,1
2489355,GR1,domestic_league,2014,1. Matchday,8/23/14,653,1,6418,0,win,1
2532537,DK1,domestic_league,2014,32. Matchday,5/31/15,3426,2,20100,1,win,1
2494327,GR1,domestic_league,2014,3. Matchday,9/14/14,2672,1,7185,1,tie,0
2532535,DK1,domestic_league,2014,32. Matchday,5/31/15,5818,2,173,2,tie,0
2489357,GR1,domestic_league,2014,1. Matchday,8/23/14,683,3,5572,1,win,2
2532533,DK1,domestic_league,2014,32. Matchday,5/31/15,2778,1,865,0,win,1
2532532,DK1,domestic_league,2014,32. Matchday,5/31/15,1177,1,1053,2,loss,-1
2532528,DK1,domestic_league,2014,31. Matchday,5/26/15,1053,1,3426,0,win,1
2532527,DK1,domestic_league,2014,31. Matchday,5/25/15,865,2,206,3,loss,-1
2494341,GR1,domestic_league,2014,5. Matchday,9/27/14,3060,1,683,0,win,1
2532526,DK1,domestic_league,2014,31. Matchday,5/25/15,190,1,173,0,win,1
2532529,DK1,domestic_league,2014,31. Matchday,5/25/15,1177,0,5724,2,loss,-2
2532538,DK1,domestic_league,2014,33. Matchday,6/7/15,173,0,5724,2,loss,-2
2532531,DK1,domestic_league,2014,31. Matchday,5/24/15,5817,1,20100,1,tie,0
2489358,GR1,domestic_league,2014,1. Matchday,8/24/14,2079,3,128,2,win,1
2532530,DK1,domestic_league,2014,31. Matchday,5/25/15,2778,4,5818,2,win,2
2532523,DK1,domestic_league,2014,30. Matchday,5/21/15,3426,2,5817,3,loss,-1
2532536,DK1,domestic_league,2014,32. Matchday,5/31/15,5724,1,206,1,tie,0
2532521,DK1,domestic_league,2014,30. Matchday,5/20/15,190,1,1053,0,win,1
2532520,DK1,domestic_league,2014,30. Matchday,5/21/15,20100,0,865,0,tie,0
2532517,DK1,domestic_league,2014,29. Matchday,5/18/15,2778,1,3426,3,loss,-2
2532518,DK1,domestic_league,2014,29. Matchday,5/18/15,5817,1,5724,1,tie,0
