club_id,game_id,own_goals,own_position,own_manager_name,opponent_id,opponent_goals,opponent_position,opponent_manager_name,hosting,is_win
28643,2224788,0,15,Glen De Boeck,3057,2,5,Mircea Rednic,Home,0
157,2224833,1,10,Bob Peeters,1184,2,3,Mario Been,Home,0
204,2224785,0,14,Hany Ramzy,1411,3,8,Enzo Scifo,Home,0
498,2224850,2,4,Peter Maes,3057,1,7,Mircea Rednic,Home,1
1184,2224843,5,3,Mario Been,1411,1,9,Enzo Scifo,Home,1
204,2224781,3,13,Chris Janssens,2282,2,4,Georges Leekens,Home,1
2727,2224779,3,3,Ronny Van Geneugden,354,1,11,Harm van Veldhoven,Home,1
2282,2224778,0,7,Georges Leekens,3508,1,2,Francky Dury,Home,0
498,2224773,2,6,Peter Maes,28643,0,15,Dirk Geeraerd,Home,1
3508,2224772,4,2,Francky Dury,172,1,14,Yannick Ferrera,Home,1
58,2224771,5,1,John van den Brom,157,0,9,Manu Ferrera,Home,1
354,2224841,1,11,Harm van Veldhoven,58,4,1,John van den Brom,Home,0
1184,2224777,0,5,Mario Been,3057,2,8,Mircea Rednic,Home,0
354,2224775,3,9,Harm van Veldhoven,204,0,14,Chris Janssens,Home,1
3057,2224821,3,7,Mircea Rednic,204,0,13,Hany Ramzy,Home,1
172,2224830,0,14,Yannick Ferrera,498,2,4,Peter Maes,Home,0
157,2224767,2,7,Manu Ferrera,1411,0,11,Enzo Scifo,Home,1
354,2224862,0,10,Harm van Veldhoven,3057,2,3,Mircea Rednic,Home,0
172,2224764,2,13,Yannick Ferrera,58,0,3,John van den Brom,Home,1
601,2224774,1,5,Hein Vanhaezebrouck,1184,1,2,Mario Been,Home,0
1411,2224803,3,8,Enzo Scifo,3057,1,12,Ron Jans,Home,1
204,2224802,0,13,Chris Janssens,172,1,14,Yannick Ferrera,Home,0
28643,2224770,0,15,Dirk Geeraerd,3508,2,4,Francky Dury,Home,0
520,2224805,1,16,Bob Peeters,354,2,10,Harm van Veldhoven,Home,0
3508,2224800,0,5,Francky Dury,498,3,9,Peter Maes,Home,0
157,2224799,0,7,Trond Sollied,601,1,4,Hein Vanhaezebrouck,Home,0
1184,2224798,3,3,Mario Been,566,0,11,Adrie Koster,Home,1
520,2224776,3,16,Lorenzo Staelens,566,1,12,Adrie Koster,Home,1
566,2224765,1,12,Adrie Koster,2727,3,6,Ronny Van Geneugden,Home,0
498,2224795,2,11,Peter Maes,204,2,13,Chris Janssens,Home,0
